Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
Claudio Calasans,Wellington Paes,W,Armbar,Curitiba SPNG,85KG,F,2022
Guilherme Bacha,Artur Gareev,W,Pts: 3x1,ACB World Champ.,O95KG,4F,2022
Adam Benayoun,Kieran Kichuk,L,EBI/OT,Emerald City,70KG,F,2022
Adam Benayoun,Gavin Corbe,L,Referee Decision,NoGi Worlds,67KG,4F,2022
Adam Benayoun,Miha Perhavec,W,Pts: 4x2,Austin WNGO,ABS,SF,2022
Adam Benayoun,Austin Oranday,W,Referee Decision,Austin WNGO,ABS,F,2022
Adam Benayoun,Dany Vega,W,Darce choke,N. Orleans NGO,73KG,RR,2022
Adam Benayoun,Gabriel Sousa,W,EBI/OT,Emerald City,70KG,4F,2022
Adam Benayoun,Jon Calestine,W,EBI/OT,Emerald City,70KG,SF,2022
Adam Benayoun,Richard Alarcon,W,Pts: 4x2,NoGi Worlds,67KG,R1,2022
Guilherme Bacha,Eldar Sayidov,W,Submission,ACB World Champ.,O95KG,F,2022
Jonas Andrade,Shamil Gaziev,W,Submission,ACB World Champ.,65KG,SF,2022
Adam Wardziński,Yatan Bueno,L,Pts: 9x0,European Open,ABS,SF,2022
Adam Wardziński,Santeri Lilius,L,Pts: 4x4,Grand Slam LDN,94KG,4F,2022
Adam Wardziński,Roosevelt Sousa,L,Botinha,Pan American,ABS,R2,2022
Adam Wardziński,Matheus Diniz,L,Pts: 3x0,Pan American,94KG,4F,2022
Adam Wardziński,Pedro Machado,L,Armbar,World Champ.,94KG,4F,2022
Adam Wardziński,Fernando Reis,L,Points,European NG,97KG,SF,2022
Adam Wardziński,Francisco Lo,L,Triangle,NoGi Worlds,ABS,8F,2022
Marcelo Fausto,Artur Prokopev,W,Choke from back,ACB World Champ.,75KG,4F,2022
Marcelo Fausto,Abubakar Khadaev,W,Submission,ACB World Champ.,75KG,SF,2022
Marcelo Fausto,Romao Carvalho,W,N/A,ACB World Champ.,75KG,F,2022
Thiago Sá Fortes,Zajnutdin S.,W,Back triangle,ACB World Champ.,95KG,SF,2022
Adam Wardziński,Simon Immerstrand,W,Choke from back,European Open,94KG,4F,2022
Adam Wardziński,Reda Mebtouche,W,Pressure,European Open,94KG,SF,2022
Adam Wardziński,Dominique Bell,W,N/A,European Open,94KG,F,2022
Adam Wardziński,Andrzej Iwat,W,Choke from back,European Open,ABS,R1,2022
Adam Wardziński,Wesley Campos,W,Pts: 26x0,European Open,ABS,8F,2022
Adam Wardziński,Reda Mebtouche,W,Pts: 0x0,European Open,ABS,4F,2022
Adam Wardziński,Euclides Castro,W,Katagatame,Grand Slam LDN,94KG,RPC,2022
Adam Wardziński,Hygor Brito,W,Pts: 3x0,Grand Slam LDN,94KG,RPC,2022
Adam Wardziński,Janis Riekstins,W,Pts: 6x1,Grand Slam LDN,94KG,3RD,2022
Adam Wardziński,Lucas Norat,W,Armbar,Pan American,94KG,R2,2022
Adam Wardziński,Thiago Cesar,W,Submission,SD Open,94KG,SF,2022
Adam Wardziński,Fellipe Trovo,W,Katagatame,SD Open,94KG,F,2022
Adam Wardziński,Thiago Cesar,W,Submission,SD Open,ABS,4F,2022
Adam Wardziński,Rafael Anjos,W,Choke from back,SD Open,ABS,SF,2022
Adam Wardziński,Guthierry Barbosa,W,Submission,SD Open,ABS,F,2022
Adam Wardziński,Alex Seaver,W,Choke from back,Chicago SPO,ABS,4F,2022
Adam Wardziński,Marlon Ferreira,W,Armbar,Chicago SPO,ABS,SF,2022
Adam Wardziński,Lucas Norat,W,Pts: 9x0,World Champ.,94KG,8F,2022
Adam Wardziński,Gabriel Caramori,W,Mounted X choke,London Open,94KG,SF,2022
Adam Wardziński,Janis Riekstins,W,Arm in Ezekiel,London Open,94KG,F,2022
Adam Wardziński,Alex Alexandrov,W,Pts: 13x0,EU Cont Pro,94KG,SF,2022
Adam Wardziński,Neo Barbosa,W,Pts: 9x0,EU Cont Pro,94KG,F,2022
Adam Wardziński,Harry Loseby,W,Katagatame,London FO,94KG,SF,2022
Adam Wardziński,Eric Bergmann,W,Choke from back,London FO,94KG,F,2022
Adam Wardziński,Gyula Szabo,W,Pts: 12x2,London FO,ABS,4F,2022
Adam Wardziński,Eric Bergmann,W,Arm in Ezekiel,London FO,ABS,SF,2022
Adam Wardziński,Gyula Szabo,W,Armbar,London FO,ABS,F,2022
Adam Wardziński,Eric Bergmann,W,Katagatame,London FNGO,97KG,RR,2022
Adam Wardziński,Adam Ellis,W,Katagatame,London FNGO,97KG,F,2022
Adam Wardziński,Gyula Szabo,W,Shoulder lock,London FNGO,ABS,SF,2022
Adam Wardziński,Vegard Vanderberg,W,RNC,European NG,ABS,R2,2022
Adam Wardziński,Shane Fishman,W,Katagatame,European NG,ABS,4F,2022
Adam Wardziński,Fernando Reis,W,Referee Decision,European NG,ABS,SF,2022
Adam Wardziński,Oliver Taza,W,Pts: 12x0,European NG,ABS,F,2022
Adam Wardziński,Murillo Soares,W,RNC,European NG,97KG,4F,2022
Adam Wardziński,Lucasz Michalec,W,Pts: 16x0,NoGi Worlds,97KG,4F,2022
Admilson Gobi Junior,Hosana Barbosa,W,Wristlock,FBJJO Baiano,O100KG,F,2022
Aniel Bonifacio,Oziel Santos,L,Choke from back,South American,57KG,F,2022
Aniel Bonifacio,Jailson Santos,W,N/A,South American,57KG,SF,2022
Adam Wardziński,C. Negromonte,W,Adv,London FNGO,ABS,F,2022
AJ Agazarm,Nick Salles,L,Choke from back,American Nat.,76KG,R1,2022
AJ Agazarm,Marcelo Fausto,L,Choke from back,European Open,76KG,R1,2022
AJ Agazarm,Thiago Cintra,L,Triangle armbar,Pan American,70KG,R1,2022
AJ Agazarm,Gabriel Sousa,L,Pts: 6x2,World Champ.,70KG,R1,2022
Alexandre Molinaro,Marcio Andre,L,Choke from back,American Nat.,82KG,SF,2022
Alexandre Molinaro,Cesar Predes,W,Pts: 4x2,American Nat.,82KG,4F,2022
Amy Campo,Jessica Guedry,W,Armbar,American Nat.,ABS,SF,2022
Amy Campo,Elisabeth Clay,W,Pts: 4x4,American Nat.,ABS,F,2022
AJ Agazarm,Juan Correa,W,Pts: 8x6,SD Open,76KG,R1,2022
AJ Agazarm,Tyler Najjar,W,Pts: 26x0,SD NGO,73KG,SF,2022
AJ Agazarm,Zachary Legates,W,Pts: 4x0,SD NGO,73KG,F,2022
AJ Agazarm,Cody Orrison,W,Pts: 6x2,American NGN,73KG,4F,2022
