Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year,Decided by Points,Point Diff
Claudio Calasans,Wellington Paes,W,Armbar,Curitiba SPNG,85,F,2022,0.0,
Guilherme Bacha,Artur Gareev,W,3x1,ACB World Champ.,95,4F,2022,1.0,2.0
Adam Benayoun,Kieran Kichuk,L,EBI/OT,Emerald City,70,F,2022,0.0,
Adam Benayoun,Gavin Corbe,L,Referee Decision,NoGi Worlds,67,4F,2022,0.0,
Adam Benayoun,Miha Perhavec,W,4x2,Austin WNGO,ABS,SF,2022,1.0,2.0
Adam Benayoun,Austin Oranday,W,Referee Decision,Austin WNGO,ABS,F,2022,0.0,
Adam Benayoun,Dany Vega,W,Darce choke,N. Orleans NGO,73,RR,2022,0.0,
Adam Benayoun,Gabriel Sousa,W,EBI/OT,Emerald City,70,4F,2022,0.0,
Adam Benayoun,Jon Calestine,W,EBI/OT,Emerald City,70,SF,2022,0.0,
Adam Benayoun,Richard Alarcon,W,4x2,NoGi Worlds,67,R1,2022,1.0,2.0
Guilherme Bacha,Eldar Sayidov,W,Submission,ACB World Champ.,95,F,2022,0.0,
Jonas Andrade,Shamil Gaziev,W,Submission,ACB World Champ.,65,SF,2022,0.0,
Adam Wardziński,Yatan Bueno,L,9x0,European Open,ABS,SF,2022,1.0,9.0
Adam Wardziński,Santeri Lilius,L,4x4,Grand Slam LDN,94,4F,2022,1.0,0.0
Adam Wardziński,Roosevelt Sousa,L,Botinha,Pan American,ABS,R2,2022,0.0,
Adam Wardziński,Matheus Diniz,L,3x0,Pan American,94,4F,2022,1.0,3.0
Adam Wardziński,Pedro Machado,L,Armbar,World Champ.,94,4F,2022,0.0,
Adam Wardziński,Fernando Reis,L,Points,European NG,97,SF,2022,1.0,
Adam Wardziński,Francisco Lo,L,Triangle,NoGi Worlds,ABS,8F,2022,0.0,
Marcelo Fausto,Artur Prokopev,W,Choke from back,ACB World Champ.,75,4F,2022,0.0,
Marcelo Fausto,Abubakar Khadaev,W,Submission,ACB World Champ.,75,SF,2022,0.0,
Marcelo Fausto,Romao Carvalho,W,,ACB World Champ.,75,F,2022,0.0,
Thiago Sá Fortes,Zajnutdin S.,W,Back triangle,ACB World Champ.,95,SF,2022,0.0,
Adam Wardziński,Simon Immerstrand,W,Choke from back,European Open,94,4F,2022,0.0,
Adam Wardziński,Reda Mebtouche,W,Pressure,European Open,94,SF,2022,0.0,
Adam Wardziński,Dominique Bell,W,,European Open,94,F,2022,0.0,
Adam Wardziński,Andrzej Iwat,W,Choke from back,European Open,ABS,R1,2022,0.0,
Adam Wardziński,Wesley Campos,W,26x0,European Open,ABS,8F,2022,1.0,26.0
Adam Wardziński,Reda Mebtouche,W,0x0,European Open,ABS,4F,2022,1.0,0.0
Adam Wardziński,Euclides Castro,W,Katagatame,Grand Slam LDN,94,RPC,2022,0.0,
Adam Wardziński,Hygor Brito,W,3x0,Grand Slam LDN,94,RPC,2022,1.0,3.0
Adam Wardziński,Janis Riekstins,W,6x1,Grand Slam LDN,94,3RD,2022,1.0,5.0
Adam Wardziński,Lucas Norat,W,Armbar,Pan American,94,R2,2022,0.0,
Adam Wardziński,Thiago Cesar,W,Submission,SD Open,94,SF,2022,0.0,
Adam Wardziński,Fellipe Trovo,W,Katagatame,SD Open,94,F,2022,0.0,
Adam Wardziński,Thiago Cesar,W,Submission,SD Open,ABS,4F,2022,0.0,
Adam Wardziński,Rafael Anjos,W,Choke from back,SD Open,ABS,SF,2022,0.0,
Adam Wardziński,Guthierry Barbosa,W,Submission,SD Open,ABS,F,2022,0.0,
Adam Wardziński,Alex Seaver,W,Choke from back,Chicago SPO,ABS,4F,2022,0.0,
Adam Wardziński,Marlon Ferreira,W,Armbar,Chicago SPO,ABS,SF,2022,0.0,
Adam Wardziński,Lucas Norat,W,9x0,World Champ.,94,8F,2022,1.0,9.0
Adam Wardziński,Gabriel Caramori,W,Mounted X choke,London Open,94,SF,2022,0.0,
Adam Wardziński,Janis Riekstins,W,Arm in Ezekiel,London Open,94,F,2022,0.0,
Adam Wardziński,Alex Alexandrov,W,13x0,EU Cont Pro,94,SF,2022,1.0,13.0
Adam Wardziński,Neo Barbosa,W,9x0,EU Cont Pro,94,F,2022,1.0,9.0
Adam Wardziński,Harry Loseby,W,Katagatame,London FO,94,SF,2022,0.0,
Adam Wardziński,Eric Bergmann,W,Choke from back,London FO,94,F,2022,0.0,
Adam Wardziński,Gyula Szabo,W,12x2,London FO,ABS,4F,2022,1.0,10.0
Adam Wardziński,Eric Bergmann,W,Arm in Ezekiel,London FO,ABS,SF,2022,0.0,
Adam Wardziński,Gyula Szabo,W,Armbar,London FO,ABS,F,2022,0.0,
Adam Wardziński,Eric Bergmann,W,Katagatame,London FNGO,97,RR,2022,0.0,
Adam Wardziński,Adam Ellis,W,Katagatame,London FNGO,97,F,2022,0.0,
Adam Wardziński,Gyula Szabo,W,Shoulder lock,London FNGO,ABS,SF,2022,0.0,
Adam Wardziński,Vegard Vanderberg,W,RNC,European NG,ABS,R2,2022,0.0,
Adam Wardziński,Shane Fishman,W,Katagatame,European NG,ABS,4F,2022,0.0,
Adam Wardziński,Fernando Reis,W,Referee Decision,European NG,ABS,SF,2022,0.0,
Adam Wardziński,Oliver Taza,W,12x0,European NG,ABS,F,2022,1.0,12.0
Adam Wardziński,Murillo Soares,W,RNC,European NG,97,4F,2022,0.0,
Adam Wardziński,Lucasz Michalec,W,16x0,NoGi Worlds,97,4F,2022,1.0,16.0
Admilson Gobi Junior,Hosana Barbosa,W,Wristlock,FBJJO Baiano,100,F,2022,0.0,
Aniel Bonifacio,Oziel Santos,L,Choke from back,South American,57,F,2022,0.0,
Aniel Bonifacio,Jailson Santos,W,,South American,57,SF,2022,0.0,
Adam Wardziński,C. Negromonte,W,Adv,London FNGO,ABS,F,2022,0.0,
AJ Agazarm,Nick Salles,L,Choke from back,American Nat.,76,R1,2022,0.0,
AJ Agazarm,Marcelo Fausto,L,Choke from back,European Open,76,R1,2022,0.0,
AJ Agazarm,Thiago Cintra,L,Triangle armbar,Pan American,70,R1,2022,0.0,
AJ Agazarm,Gabriel Sousa,L,6x2,World Champ.,70,R1,2022,1.0,4.0
Alexandre Molinaro,Marcio Andre,L,Choke from back,American Nat.,82,SF,2022,0.0,
Alexandre Molinaro,Cesar Predes,W,4x2,American Nat.,82,4F,2022,1.0,2.0
Amy Campo,Jessica Guedry,W,Armbar,American Nat.,ABS,SF,2022,0.0,
Amy Campo,Elisabeth Clay,W,4x4,American Nat.,ABS,F,2022,1.0,0.0
AJ Agazarm,Juan Correa,W,8x6,SD Open,76,R1,2022,1.0,2.0
AJ Agazarm,Tyler Najjar,W,26x0,SD NGO,73,SF,2022,1.0,26.0
AJ Agazarm,Zachary Legates,W,4x0,SD NGO,73,F,2022,1.0,4.0
AJ Agazarm,Cody Orrison,W,6x2,American NGN,73,4F,2022,1.0,4.0
AJ Agazarm,Daniel Seth,W,2x0,American NGN,73,SF,2022,1.0,2.0
AJ Agazarm,Deandre Corbe,W,2x0,American NGN,73,F,2022,1.0,2.0
AJ Agazarm,Mikey Zindler,W,Referee Decision,F2W 209,,SPF,2022,0.0,
Thiago Sá Fortes,Ramiz Yakhiyaev,W,2x0,ACB World Champ.,95,F,2022,1.0,2.0
Alan Sanchez,Mica Galvao,L,RNC,WNO 14,83,SPF,2022,0.0,
Alan Sanchez,Jed Hue,L,4x0,Polaris 22,86,4F,2022,1.0,4.0
Alan Sanchez,Italo Moura,L,Referee Decision,NoGi Worlds,79,R1,2022,0.0,
Alan Sanchez,John Combs,W,Dead orchard,EBI 19,77,4F,2022,0.0,
Alan Sanchez,Pablo Lavaselli,W,EBI/OT,EBI 19,77,SF,2022,0.0,
Alan Sanchez,Oliver Taza,W,EBI/OT,EBI 19,77,F,2022,0.0,
Alef Brito,Caio Caetano,L,Referee Decision,Denver Open,82,SF,2022,0.0,
Alef Brito,Pedro Machado,L,Americana,Denver Open,ABS,4F,2022,0.0,
Alef Brito,Matheus Gabriel,L,2x0,World Champ.,76,8F,2022,1.0,2.0
Alef Brito,Pablo Lavaselli,L,Choke from back,JJ Con,76,SF,2022,0.0,
Alef Brito,Lucas Brito,L,RNC,Atlanta FO,82,F,2022,0.0,
Alef Brito,Rolando Samson,L,Armbar,Twin Cities Open,82,SF,2022,0.0,
Alef Brito,Andy Murasaki,L,Submission,Houston FO,82,F,2022,0.0,
Austin Baker,Gabriel Oliveira,L,Referee Decision,American Nat.,100,SF,2022,0.0,
Austin Baker,Marcos Lopes,L,6x0,American Nat.,ABS,R1,2022,1.0,6.0
Danilo Moreira,Kennedy Maciel,W,Referee Decision,American Nat.,70,SF,2022,0.0,
Danilo Moreira,Matheus Onda,W,4x0,American Nat.,70,F,2022,1.0,4.0
Alef Brito,A. Mendonca,W,4x0,Denver Open,ABS,R1,2022,1.0,4.0
Alef Brito,Jonata Gomes,W,0x0,World Champ.,76,R1,2022,1.0,0.0
Alef Brito,Michael Khatchikian,W,Katagatame,Santa Cruz Open,82,SF,2022,0.0,
Alef Brito,Rehan Muttalib,W,Choke from back,Santa Cruz Open,82,F,2022,0.0,
Alef Brito,Kevin Mahecha,W,2x2,JJ Con,76,4F,2022,1.0,0.0
Alef Brito,Clay Mayfield,W,Bow and arrow,Atlanta FO,82,4F,2022,0.0,
Alef Brito,Caio Caetano,W,4x4,Atlanta FO,82,SF,2022,1.0,0.0
Alef Brito,Fabricio Barbarotti,W,Points,Houston FO,82,4F,2022,1.0,
Alef Brito,Chris Gores,W,Choke from back,Houston FO,82,SF,2022,0.0,
Alex Munis,Tommy Langaker,L,Loop choke,Grand Slam LDN,85,SF,2022,0.0,
Alex Munis,Sebastian Rodriguez,L,Referee Decision,Pan American,88,4F,2022,0.0,
Alex Munis,Wellington Luis,L,2x2,Rio Fall Open,88,SF,2022,1.0,0.0
Alex Munis,Karol Kania,W,2x0,Grand Slam LDN,85,8F,2022,1.0,2.0
Alex Munis,Fausto Godoy,W,3x1,Grand Slam LDN,85,4F,2022,1.0,2.0
Alex Munis,Adam Bradley,W,Referee Decision,Pan American,88,R1,2022,0.0,
Alex Munis,Vital Neto,W,4x2,Rio Fall Open,88,4F,2022,1.0,2.0
Pedro Elias,Caique Honorio,W,Armbar,Rio SMO,94,4F,2022,0.0,
Alex Nguyen,Sophia Casella,L,EBI/OT,Finishers Only,52,F,2022,0.0,
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52,SPF,2022,0.0,
Alex Nguyen,Christina Kruse,W,RNC,Finishers Only,52,R1,2022,0.0,
Alex Nguyen,Liliana Ramos,W,Points,Finishers Only,52,4F,2022,1.0,
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52,SF,2022,0.0,
Alex Nguyen,Jessica Crane,W,RNC,Toro Cup,,SPF,2022,0.0,
Alex Nguyen,Sophia Cassella,W,Referee Decision,Fury Grappling,,SPF,2022,0.0,
Alex Nguyen,Olivia Beeskau,W,RNC,Midwest F7,56,4F,2022,0.0,
Alex Nguyen,Tam Dang,W,RNC,Midwest F9,52,4F,2022,0.0,
Alex Nguyen,Trinity Pun,W,Armlock,Midwest F7,56,F,2022,0.0,
Alex Nguyen,Brittany Way,W,EBI/OT,Midwest F9,52,F,2022,0.0,
Alex Nguyen,Chelsea Mapa,W,EBI/OT,Halloween Havoc,,SPF,2022,0.0,
Alex Nguyen,Jessica Crane,W,RNC,NoGi Worlds,51,F,2022,0.0,
Alexander Trans,Gabriel Araujo,W,Katagatame,Nashville Open,100,F,2022,0.0,
Alexander Trans,Adolfo Suarez,W,Arm in Ezekiel,Nashville Open,ABS,4F,2022,0.0,
Alexander Trans,Matheus Luna,W,9x0,Nashville Open,ABS,SF,2022,1.0,9.0
Alexander Trans,Joao Cizeski,W,Armbar,Nashville Open,ABS,F,2022,0.0,
Alexandre Cavaliere,Mica Galvao,L,DQ,Brasileiro,82,R1,2022,0.0,
